mlbam_id,Name,team,pitcher_hand,FF_pitch_count,FF_velo,FF_extension,FF_h_mov,FF_v_mov,FF_plate_x,FF_plate_z,FF_release_x,FF_release_y,FF_release_z,FF_spin_axis,FF_spin_rate,FF_vx0,FF_vy0,FF_vz0,FF_ax,FF_ay,FF_az,SI_pitch_count,SI_velo,SI_extension,SI_h_mov,SI_v_mov,SI_plate_x,SI_plate_z,SI_release_x,SI_release_y,SI_release_z,SI_spin_axis,SI_spin_rate,SI_vx0,SI_vy0,SI_vz0,SI_ax,SI_ay,SI_az,FC_pitch_count,FC_velo,FC_extension,FC_h_mov,FC_v_mov,FC_plate_x,FC_plate_z,FC_release_x,FC_release_y,FC_release_z,FC_spin_axis,FC_spin_rate,FC_vx0,FC_vy0,FC_vz0,FC_ax,FC_ay,FC_az,SL_pitch_count,SL_velo,SL_extension,SL_h_mov,SL_v_mov,SL_plate_x,SL_plate_z,SL_release_x,SL_release_y,SL_release_z,SL_spin_axis,SL_spin_rate,SL_vx0,SL_vy0,SL_vz0,SL_ax,SL_ay,SL_az,ST_pitch_count,ST_velo,ST_extension,ST_h_mov,ST_v_mov,ST_plate_x,ST_plate_z,ST_release_x,ST_release_y,ST_release_z,ST_spin_axis,ST_spin_rate,ST_vx0,ST_vy0,ST_vz0,ST_ax,ST_ay,ST_az,SV_pitch_count,SV_velo,SV_extension,SV_h_mov,SV_v_mov,SV_plate_x,SV_plate_z,SV_release_x,SV_release_y,SV_release_z,SV_spin_axis,SV_spin_rate,SV_vx0,SV_vy0,SV_vz0,SV_ax,SV_ay,SV_az,CH_pitch_count,CH_velo,CH_extension,CH_h_mov,CH_v_mov,CH_plate_x,CH_plate_z,CH_release_x,CH_release_y,CH_release_z,CH_spin_axis,CH_spin_rate,CH_vx0,CH_vy0,CH_vz0,CH_ax,CH_ay,CH_az,FS_pitch_count,FS_velo,FS_extension,FS_h_mov,FS_v_mov,FS_plate_x,FS_plate_z,FS_release_x,FS_release_y,FS_release_z,FS_spin_axis,FS_spin_rate,FS_vx0,FS_vy0,FS_vz0,FS_ax,FS_ay,FS_az,FO_pitch_count,FO_velo,FO_extension,FO_h_mov,FO_v_mov,FO_plate_x,FO_plate_z,FO_release_x,FO_release_y,FO_release_z,FO_spin_axis,FO_spin_rate,FO_vx0,FO_vy0,FO_vz0,FO_ax,FO_ay,FO_az,CU_pitch_count,CU_velo,CU_extension,CU_h_mov,CU_v_mov,CU_plate_x,CU_plate_z,CU_release_x,CU_release_y,CU_release_z,CU_spin_axis,CU_spin_rate,CU_vx0,CU_vy0,CU_vz0,CU_ax,CU_ay,CU_az,KC_pitch_count,KC_velo,KC_extension,KC_h_mov,KC_v_mov,KC_plate_x,KC_plate_z,KC_release_x,KC_release_y,KC_release_z,KC_spin_axis,KC_spin_rate,KC_vx0,KC_vy0,KC_vz0,KC_ax,KC_ay,KC_az,CS_pitch_count,CS_velo,CS_extension,CS_h_mov,CS_v_mov,CS_plate_x,CS_plate_z,CS_release_x,CS_release_y,CS_release_z,CS_spin_axis,CS_spin_rate,CS_vx0,CS_vy0,CS_vz0,CS_ax,CS_ay,CS_az
434378,Justin Verlander,SF,R,1219.0,93.93191140278917,6.017145200984413,-8.873896636587368,18.589171452009843,0.023577269124596918,2.9921048797456726,-1.6863822805578341,54.482567678424935,7.140254306808859,206.92945036915503,2432.0336341263333,6.0178919428722715,-136.41857396013395,-8.345688991115173,-10.568778460338894,31.086439481054757,-11.15438113067601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,623.0,87.10818619582665,6.022953451043339,4.068250401284109,5.496886035313001,0.4181873674419081,1.8700621650259137,-1.8684911717495987,54.47719101123596,7.06593900481541,167.43178170144463,2499.5393258426966,4.768787626018243,-126.68928001635982,-7.234372631858973,2.7304695217621076,24.444885770738434,-25.96636355073023,221.0,80.49547511312217,6.0058823529411764,11.587873303167422,-1.6908597285067875,0.6132698479681103,2.228442398152677,-2.0997285067873306,54.497692307692304,6.955339366515837,48.12217194570136,2662.3529411764707,4.183580512934361,-117.12945149073916,-3.5119531279226823,8.01513583286732,22.81720330054318,-32.95157224015328,,,,,,,,,,,,,,,,,,,228.0,84.69561403508771,6.043859649122807,-12.954736842105262,9.280526315789475,-0.5280231171067659,2.182942075613386,-2.018421052631579,54.45627192982457,7.042412280701755,228.8201754385965,1723.048245614035,5.60417550148898,-123.10201030053085,-6.513744336642264,-12.081923725826359,24.086448250806423,-23.195640042639535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,385.0,78.45740259740259,5.9966233766233765,7.505766233766233,-12.320415584415583,0.018900197522686357,2.0779631340825944,-1.9715324675324675,54.501714285714286,7.097532467532468,39.31688311688312,2746.6441558441556,3.1421321949355865,-114.20972487953985,-2.0924689424312217,4.8430548100188275,21.85175783034995,-40.93102398390568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445276,Kenley Jansen,LAA,R,,,,,,,,,,,,,,,,,,,84.0,93.10714285714286,6.98452380952381,-7.9157142857142855,18.734285714285715,-0.4623714068117265,3.5120141552027686,-1.7335714285714285,53.519285714285715,6.484642857142857,190.32142857142858,2320.154761904762,4.77266156840128,-135.41593956185335,-5.327295274161082,-9.16164630989417,30.2511194932719,-11.99921790188437,746.0,92.71085790884719,6.877613941018766,2.3665415549597855,18.718552278820376,-0.11979831550571016,2.6705868641780777,-2.2204289544235927,53.62253351206435,6.326930294906167,184.8190348525469,2592.426273458445,4.987140330634973,-134.7648646334291,-6.993483360220063,1.2604491852840662,30.366929440309896,-11.829672936735928,55.0,83.69636363636364,6.8109090909090915,7.232727272727273,-3.277090909090909,0.06127315494939921,1.858317417381771,-2.1705454545454543,53.686181818181815,6.3741818181818175,83.50909090909092,2456.7090909090907,4.006413644148535,-121.84601556720587,-3.5242566465061906,5.22198172268326,23.523056436929256,-34.38787980533393,31.0,81.8741935483871,6.780645161290322,12.414193548387097,2.8296774193548386,0.3830472586893691,1.911404108434909,-2.1783870967741934,53.71354838709678,6.428064516129033,65.16129032258064,2509.2903225806454,3.812997726472273,-119.10338337768083,-4.062007999643588,8.920773435400394,24.829052146582253,-29.29841787892978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445926,Jesse Chavez,ATL,R,,,,,,,,,,,,,,,,,,,72.0,89.54444444444444,6.201388888888889,-16.25,7.381666666666667,0.13155917489698626,2.4214930155539416,-1.4608333333333334,54.291805555555555,5.032638888888889,226.875,1979.6805555555557,6.78058969265216,-130.2231178222881,-1.6944641522011952,-16.84242667935844,27.982389955230026,-25.023039815726694,81.0,87.85679012345679,6.201234567901235,-2.0074074074074075,12.6,0.10902920426940485,2.331406802671913,-1.62358024691358,54.30333333333333,4.941481481481482,213.7530864197531,2186.5308641975307,4.532786269365243,-127.89614768412565,-2.3610269620245465,-2.7690743576655437,26.120690481524345,-20.346997694908236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.0,83.93076923076923,6.264102564102564,-15.91076923076923,1.036923076923077,-0.1994924264102552,1.3438488140632507,-1.524871794871795,54.236666666666665,5.061538461538461,255.76923076923077,1816.923076923077,5.686256139712127,-122.06515401284298,-2.282413585621757,-14.375591360740856,24.847189471952262,-31.0426474945295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448179,Rich Hill,KC,L,63.0,88.52380952380952,6.574603174603174,4.733333333333333,16.089523809523808,-0.14400206878431743,2.933652324157557,1.5265079365079366,53.927301587301585,5.581904761904762,149.68253968253967,2244.8888888888887,-4.926427899032594,-128.87110777745153,-3.253672112022916,5.374840905320612,25.157508762904097,-16.697658231184114,,,,,,,,,,,,,,,,,,,27.0,83.70370370370371,6.403703703703704,-2.4755555555555557,8.404444444444444,-0.43183317142577776,2.2764312309850827,1.7192592592592593,54.0937037037037,5.421111111111111,174.37037037037038,2288.962962962963,-4.566574380211686,-121.91667338026065,-2.285543725079548,-1.2503736439536342,21.959161886271197,-24.90047609229257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.0,72.41355932203389,6.33728813559322,-17.05627118644068,-9.148474576271186,0.16693398599971135,2.318505928224512,1.676271186440678,54.167966101694915,5.43135593220339,304.5762711864407,2569.8813559322034,-0.5941956008311068,-105.33446114044595,2.5724093793761162,-10.393893289098772,19.578283544235987,-38.50660019796316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
450203,Charlie Morton,ATL,R,702.0,94.21339031339032,6.15968660968661,-11.96820512820513,12.44119658119658,-0.05637643450436627,3.0442865753554607,-2.4442877492877493,54.34311965811966,5.4347150997151,236.37037037037038,2322.448717948718,8.38277109625094,-136.9290880441593,-2.7851175423449046,-14.417788113638894,30.494686433101805,-18.70883460309944,385.0,94.01350649350648,6.177662337662338,-17.761558441558442,4.362701298701299,-0.12181399399048269,2.2094362989415504,-2.43212987012987,54.32361038961039,5.362025974025975,241.72207792207791,2219.574025974026,9.230376949948493,-136.57883220715948,-3.2414776120462383,-20.55443940437339,29.95112465726764,-27.077619578647525,232.0,88.03534482758621,6.174568965517241,0.8358620689655172,5.304827586206897,0.28766215852331334,2.2265230456954956,-2.531293103448276,54.32581896551724,5.319698275862069,191.7543103448276,2512.814655172414,6.6822932598127265,-128.11461694326525,-2.364231385352199,-0.5301897965363443,24.56472004894772,-26.95114089057904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,253.0,87.51620553359683,6.2620553359683795,-13.686166007905138,-3.6763636363636363,-0.30725903118342357,1.8233067541792676,-2.5209090909090905,54.23750988142292,5.284268774703557,264.8379446640316,1815.205533596838,7.684345440739536,-127.20567550039618,-1.548918115282076,-13.984976896580672,26.740793914312622,-35.392917153092775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,976.0,81.44006147540983,6.111372950819672,15.360122950819672,-8.937049180327868,0.31414696555311944,1.7756384919671961,-2.5772131147540986,54.38634221311475,5.323678278688525,61.072745901639344,3163.0860655737706,4.023592425154986,-118.50126011239108,0.11098538291575535,11.14222620611189,24.475734220837495,-39.39840426994168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
453286,Max Scherzer,TOR,R,812.0,93.70800492610837,6.22204433497537,-8.856059113300493,16.24433497536946,0.04447338756997054,2.7735441484959553,-2.9696551724137934,54.2760591133005,5.691600985221675,216.63546798029557,2400.0233990147785,9.376768593602575,-136.05924529427168,-4.729882821842666,-11.267078846191032,31.131661855328893,-14.503140346167275,,,,,,,,,,,,,,,,,,,47.0,88.20212765957447,6.157446808510638,0.847659574468085,7.526808510638298,0.6796866731573238,2.4430713453976396,-3.1287234042553194,54.33851063829787,5.561702127659574,193.53191489361703,2481.063829787234,9.05307070065641,-128.17560404854171,-2.736081160615809,-1.0420744330758878,25.48898447266415,-24.815121304194623,381.0,86.37007874015748,6.211023622047244,3.73511811023622,3.8116535433070866,0.3942893729345603,1.9381052648353476,-3.072047244094488,54.29057742782152,5.548005249343832,162.55702917771885,2403.8063660477455,7.603060750490736,-125.60729768445825,-3.03019230568447,1.816561332607848,24.372247391029205,-28.349613400407897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,227.0,84.96916299559471,6.4876651982378855,-14.364052863436124,4.722290748898678,-0.40973363680052743,1.8195657901526565,-3.096519823788546,54.01246696035242,5.447753303964758,244.16299559471366,1360.180616740088,8.707266160639064,-123.42509088262308,-2.9510281218539895,-13.95677618716362,24.33921285990639,-27.74380546474404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,205.0,76.77170731707318,6.330243902439024,11.816780487804879,-6.696000000000001,0.005379982847007614,2.007783539569622,-2.916536585365854,54.170682926829265,5.718536585365854,61.01951219512195,2698.380487804878,4.407707820214924,-111.71121404023356,0.19367486492457653,7.3710727075705345,20.97567566432991,-37.07056300711167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
455119,Chris Martin,TEX,R,194.0,94.70257731958762,6.5278350515463925,-7.318144329896907,14.993814432989693,-0.000473165277039191,2.790692740659926,-2.7204123711340205,53.97231958762886,6.234793814432989,210.5,2230.7083333333335,8.484023701593836,-137.53960611029643,-6.089578537524832,-9.664557195510874,31.40757466055861,-15.121083665746827,94.0,94.2468085106383,6.629787234042554,-14.808510638297872,10.992765957446808,-0.6060569277042104,2.3773661745924266,-2.953191489361702,53.87,6.0638297872340425,210.32258064516128,2194.3763440860216,8.885142571324822,-136.83281526742664,-5.890365471843151,-17.513192914826515,32.00575078804941,-19.491080329214025,243.0,91.35020576131687,6.481893004115226,2.746666666666667,8.086913580246915,0.03373675021416887,2.7546642783947695,-2.936502057613169,54.0185596707819,6.182222222222222,190.10330578512398,2242.9297520661157,7.010850581734751,-132.8574774559578,-4.213673023170914,1.222413741645705,28.081741123608403,-23.472145259412912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118.0,88.37372881355932,6.703389830508475,-10.411525423728813,2.0888135593220336,-0.20063761525474746,1.43723623908187,-2.8677118644067794,53.79491525423729,6.102118644067796,224.12280701754386,1593.5438596491229,8.360629367142288,-128.38532428098083,-5.68423813178512,-11.308176923252917,25.801506438471048,-29.258888862179457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
458677,Justin Wilson,BOS,L,389.0,94.47352185089973,6.095115681233933,5.179434447300771,18.909100257069408,-0.11566125393437454,2.616244704779103,1.1466323907455014,54.40637532133677,6.407455012853471,156.30591259640101,2251.344473007712,-4.22510085886415,-137.31866203822167,-7.625973240508186,6.417972691143684,31.648964780790813,-10.744001734551121,,,,,,,,,,,,,,,,,,,127.0,91.45433070866142,6.139370078740158,-3.1048818897637793,13.238740157480315,-0.4008847211810164,2.3008029889197426,1.2421259842519685,54.36307086614173,6.346299212598425,172.71653543307087,2372.165354330709,-3.574199406839213,-133.07819934865054,-6.714114330075444,-2.3510643808375162,27.111082725947977,-17.823269550371634,281.0,87.98042704626334,6.194661921708185,-2.1352313167259784,2.9470462633451957,-0.34826960951626634,1.675295179835387,1.2272597864768684,54.309003558718864,6.350925266903914,204.30604982206407,2291.6512455516013,-3.4450798925188972,-128.03836672391205,-5.752610379704187,-1.2323091121146104,26.02427195689425,-28.45798868933861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.0,85.16190476190476,6.333333333333333,10.768571428571429,3.0342857142857143,-0.11883868173284284,1.7471783962857619,1.2952380952380953,54.16904761904762,6.2319047619047625,121.80952380952381,1123.2619047619048,-5.120266466740383,-123.8590151818168,-4.722835172975518,10.27578513130001,25.017949525834723,-28.840114205292583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
471911,Carlos Carrasco,ATL,R,171.0,91.46374269005848,6.673099415204677,-5.337543859649123,12.042105263157893,-0.0028890957622142374,2.783093498744841,-1.1952046783625732,53.83,5.930526315789474,220.140350877193,2176.4912280701756,3.998529143993422,-133.14355306471253,-4.262789567425901,-6.155168217388072,27.837822569785576,-19.512212289765184,189.0,90.33544973544974,6.708994708994709,-13.802539682539681,4.757460317460318,-0.13732537584148943,2.185269618630032,-1.2428571428571429,53.79349206349206,5.874391534391535,223.87301587301587,2045.1587301587301,5.249814512675302,-131.39682649164502,-4.069665586504212,-14.45036451303385,28.860587548900035,-26.90580255729963,,,,,,,,,,,,,,,,,,,208.0,84.3721153846154,6.738647342995169,2.6117307692307694,4.058653846153846,0.3468492719112782,1.922918415598906,-1.3197115384615385,53.761490384615385,5.816201923076923,172.6875,2347.793269230769,3.4816170845184757,-122.86863350588348,-3.4162721667347267,1.5312242758029393,23.05953302079143,-28.23588978002922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,173.0,84.87803468208092,6.738150289017342,-7.5593063583815026,1.3123699421965318,-0.3086489504227257,1.4849990266413262,-1.3868208092485548,53.76300578034682,5.850751445086705,238.71098265895955,1237.606936416185,3.8217038066217146,-123.5747837078356,-4.160997096771211,-7.2097398726018245,23.5926307246357,-30.45272390257878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.0,77.73666666666666,6.648888888888889,8.206666666666667,-6.053333333333333,-0.1427508270813981,1.731534657995716,-1.1646666666666665,53.845444444444446,6.010777777777778,52.41111111111111,2569.722222222222,0.943331100273625,-113.20985514503148,-1.2788468827754813,5.652230241390502,21.312469094277752,-36.45178418737418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
472610,Luis García,LAA,R,,,,,,,,,,,,,,,,,,,386.0,96.87668393782384,6.572020725388602,-13.931191709844558,10.39181347150259,-0.12400851713036454,2.356564336913636,-2.00139896373057,53.93015544041451,6.272668393782383,210.56476683937825,2188.3678756476684,7.688920828876282,-140.75637631286472,-6.9085917497856695,-17.166457836093564,31.678560623020065,-19.233887514825106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,304.0,82.8516447368421,6.496710526315789,11.926578947368421,3.2080263157894735,0.5925690575415082,1.7218910072296745,-2.3219736842105263,54.003815789473684,6.110625,67.33223684210526,2473.3026315789475,4.743724277336741,-120.54994531155259,-4.077150354086097,8.732341292370618,23.626591011614256,-28.96789312870802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201.0,88.59900497512439,6.59502487562189,-9.108059701492538,4.6764179104477615,-0.2190072032577066,1.5109315697996897,-2.1054726368159202,53.90427860696518,6.241144278606965,223.56218905472636,1286.7064676616915,6.220141473511278,-128.8188378383233,-6.358490079875161,-9.802482261480986,25.453953719737136,-26.673260331549006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
